time,status,src_png,dst_dds,message
2026-03-05T00:28:38,OK,_Common\Model\XYZLabel\transparent.png,_Common\Model\XYZLabel\transparent.dds,converted
2026-03-05T00:28:39,OK,_Common\Textures\debug\default.png,_Common\Textures\debug\default.dds,converted
2026-03-05T00:28:41,OK,_Common\UI\Texture\gradation\gradationLine_flipped.png,_Common\UI\Texture\gradation\gradationLine_flipped.dds,converted
2026-03-05T00:28:43,OK,_Common\UI\Texture\gradation\gradationLine.png,_Common\UI\Texture\gradation\gradationLine.dds,converted
2026-03-05T00:28:44,OK,_Common\UI\Texture\inputhints\A.png,_Common\UI\Texture\inputhints\A.dds,converted
2026-03-05T00:28:45,OK,_Common\UI\Texture\inputhints\D.png,_Common\UI\Texture\inputhints\D.dds,converted
2026-03-05T00:28:46,OK,_Common\UI\Texture\inputhints\DashUI.png,_Common\UI\Texture\inputhints\DashUI.dds,converted
2026-03-05T00:28:47,OK,_Common\UI\Texture\inputhints\Enter.png,_Common\UI\Texture\inputhints\Enter.dds,converted
2026-03-05T00:28:49,OK,_Common\UI\Texture\inputhints\Esc.png,_Common\UI\Texture\inputhints\Esc.dds,converted
2026-03-05T00:28:50,OK,_Common\UI\Texture\inputhints\moveUI.png,_Common\UI\Texture\inputhints\moveUI.dds,converted
2026-03-05T00:28:51,OK,_Common\UI\Texture\inputhints\S.png,_Common\UI\Texture\inputhints\S.dds,converted
2026-03-05T00:28:52,OK,_Common\UI\Texture\inputhints\W.png,_Common\UI\Texture\inputhints\W.dds,converted
2026-03-05T00:28:54,OK,_Common\UI\Texture\utility\uvChecker.png,_Common\UI\Texture\utility\uvChecker.dds,converted
2026-03-05T00:28:55,OK,_Common\UI\Texture\utility\white.png,_Common\UI\Texture\utility\white.dds,converted
2026-03-05T00:28:55,SKIP,Effects\Hit\Textures\HitDamage.png,Effects\Hit\Textures\HitDamage.dds,already exists
2026-03-05T00:28:55,SKIP,Effects\Particles\Textures\circle.png,Effects\Particles\Textures\circle.dds,already exists
2026-03-05T00:28:55,SKIP,Effects\Particles\Textures\circle2.png,Effects\Particles\Textures\circle2.dds,already exists
2026-03-05T00:28:55,SKIP,Effects\Particles\Textures\hanabira.png,Effects\Particles\Textures\hanabira.dds,already exists
2026-03-05T00:28:55,SKIP,Effects\Particles\Textures\momiji_s.png,Effects\Particles\Textures\momiji_s.dds,already exists
2026-03-05T00:28:55,SKIP,Effects\Particles\Textures\momiji.png,Effects\Particles\Textures\momiji.dds,already exists
2026-03-05T00:28:55,SKIP,Effects\Particles\Textures\sakura.png,Effects\Particles\Textures\sakura.dds,already exists
2026-03-05T00:28:55,SKIP,Effects\Particles\Textures\smoke.png,Effects\Particles\Textures\smoke.dds,already exists
2026-03-05T00:28:55,SKIP,Effects\Particles\Textures\snow.png,Effects\Particles\Textures\snow.dds,already exists
2026-03-05T00:28:55,SKIP,Effects\Particles\Textures\square.png,Effects\Particles\Textures\square.dds,already exists
2026-03-05T00:28:55,SKIP,Effects\Particles\Textures\star.png,Effects\Particles\Textures\star.dds,already exists
2026-03-05T00:28:55,SKIP,Effects\Particles\Textures\starSmall.png,Effects\Particles\Textures\starSmall.dds,already exists
2026-03-05T00:28:55,SKIP,Effects\Particles\Textures\sun.png,Effects\Particles\Textures\sun.dds,already exists
2026-03-05T00:28:55,SKIP,Effects\Particles\Textures\trail_amiami.png,Effects\Particles\Textures\trail_amiami.dds,already exists
